id,title,subtitle,thumbnail,modal_image,description,tech_stack,youtube_url,live_link,source_link,problem,solution,award_text
1,Hue,Create & Sell AI Art,assets/images/projects/thumb-hue.png,assets/images/hue.png,"Hue is a digital art store powered by AI and MindsDB.","PYTHON, DJANGO, MINDSDB, OPENAI","https://www.youtube.com/embed/cvy4uK9LyjM?t=1s","https://hue-alissa.herokuapp.com/","https://github.com/alissatroiano/hue","Create or update a web application that integrates MindsDB to improve its overall functionality.","Added an AI Image Generation Tool, trained models on famous artwork datasets, added permissions for public/downloadable artwork, connected store with selling capabilities.",""
2, Hue,Create & Sell AI Art,assets/images/projects/thumb-hue.png,assets/images/hue.png,"Hue is a digital art store powered by AI and MindsDB.","PYTHON, DJANGO, MINDSDB, OPENAI","https://www.youtube.com/embed/cvy4uK9LyjM?t=1s","https://hue-alissa.herokuapp.com/","https://github.com/alissatroiano/hue","Create or update a web application that integrates MindsDB to improve its overall functionality.","Added an AI Image Generation Tool, trained models on famous artwork datasets, added permissions for public/downloadable artwork, connected store with selling capabilities.",""
